ConsumerReportCount,_c3,_c16,_c17
4200,1,ATL,CAE
1978,1,CLT,CMH
62,1,PHL,MDT
427,1,SDF,LAS
1051,1,MHT,CVG
199,1,OAK,MSY
199,1,MSY,OAK
256,1,ISP,CLE
524,1,BOS,PHF
24,1,CLE,GSO
194,1,JFK,IND
453,1,SLC,RDM
3,1,MLB,LGA
205,1,ATL,EWN
400,1,ELM,DTW
22,1,MSP,BTV
1,1,BIS,GJT
1247,1,PHL,SAN
459,1,PHL,LGA
829,1,BHM,MCO
3304,1,OMA,MSP
6112,1,DFW,PHL
6137,1,SAT,IAH
949,1,MIA,BNA
7208,1,DFW,DCA
735,1,RSW,DCA
72,1,MKE,IAD
1743,1,DFW,CID
39,1,MIA,SJC
699,1,CMH,RDU
1006,1,DEN,FAR
587,1,GSP,CLE
614,1,ORF,CLE
580,1,LEX,DTW
261,1,IAD,SDF
62,1,ATL,BUR
203,1,LAS,SBA
86,1,TPA,SWF
109,1,BUF,FLL
2,1,MCO,JAX
34,1,BNA,ORF
34,1,LAS,JAX
5304,1,TUS,PHX
661,1,BDL,SJU
2669,1,BZN,SLC
452,1,MSP,SUX
139,1,SYR,LGA
675,1,TYS,MEM
2002,1,IAD,MSP
4206,1,MEM,MSP
3715,1,DAL,OKC
3148,1,TUL,ORD
3045,1,JAX,DFW
1539,1,RIC,DFW
4400,1,MEM,DTW
1491,1,TVC,DTW
1812,1,CVG,JFK
3332,1,SAN,ATL
1479,1,PNS,CLT
3288,1,BOS,DEN
3286,1,DTW,CMH
577,1,FLL,MSP
880,1,BOS,ISP
509,1,IAH,CRW
1,1,MKE,MCN
312,1,SHV,CVG
126,1,CVG,MGM
21,1,LGA,BTR
83,1,LAS,BFL
152,1,ATL,ACY
70,1,RHI,MSP
1,1,BHM,HSV
93,1,SJC,LGB
1887,1,EWR,PVD
1829,1,DTW,SDF
5737,1,BUR,SMF
881,1,MSY,LGA
911,1,ROC,LGA
664,1,MSP,MBS
1845,1,MEM,MSY
1502,1,SLC,OKC
16825,1,EWR,ORD
1984,1,DTW,FLL
2288,1,MSP,BWI
3526,1,BOS,CVG
2555,1,LEX,CVG
1760,1,CVG,PHX
517,1,SEA,MCI
648,1,MCI,TPA
661,1,BDL,BNA
845,1,EWR,SAV
105,1,RSW,IAD
583,1,SJU,IAH
602,1,SEA,TUS
38,1,FCA,BIL
309,1,ITO,OGG
609,1,DTW,SAT
1917,1,CHA,ATL
17,1,MKE,FLL
906,1,CVG,CHA
615,1,LAX,SGU
619,1,MSN,CLE
229,1,OGG,SAN
194,1,SLC,XNA
184,1,JAN,DCA
44,1,DCA,BHM
540,1,MDW,BUF
108,1,RSW,FNT
607,1,CWA,ORD
108,1,BOI,ATL
109,1,MDW,RNO
50,1,JAX,DEN
193,1,DTW,DLH
1,1,MSN,CYS
44,1,RNO,ONT
1,1,MSO,IDA
1,1,DEN,BTM
4179,1,PHL,PVD
1810,1,DTW,RSW
1808,1,JAC,SLC
1725,1,MIA,STL
41,1,SJU,STX
8515,1,SMF,LAX
1310,1,IAH,LBB
1952,1,PHX,LGB
1369,1,ATL,MLU
1422,1,MIA,MSP
10068,1,PHX,DFW
5150,1,RDU,EWR
6625,1,MSY,ATL
5341,1,DTW,BNA
2544,1,EWR,BUF
3924,1,DFW,BWI
1531,1,TPA,CLE
632,1,IAH,RNO
741,1,BWI,AUS
2048,1,ORD,TVC
412,1,LIT,BWI
2436,1,IAH,BTR
378,1,LAS,ORF
1020,1,CVG,ATW
811,1,ORD,SAV
275,1,VIS,FAT
940,1,SYR,CLE
314,1,GSO,MCO
363,1,BOS,GSO
340,1,ELP,SLC
